Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Turkey,2007,Dengue,Autoimmune,8.83,9.3,3.08,61+,Male,327893,51.36,3.12,4.87,Medication,38755,No,58.18,4823,2.06,61524,0.9,52.11
UK,2016,COVID-19,Genetic,17.8,9.5,8.53,61+,Other,988281,88.05,2.9,6.97,Vaccination,33812,Yes,55.19,2484,6.08,94279,0.44,23.67
Nigeria,2021,Asthma,Bacterial,13.26,5.25,9.15,36-60,Other,252392,63.71,2.41,3.2,Therapy,949,Yes,88.03,2076,1.84,71761,0.58,72.54
Australia,2003,Leprosy,Respiratory,12.86,9.48,2.11,36-60,Other,941410,72.74,1.99,1.96,Medication,13611,Yes,85.86,2390,4.79,73626,0.55,46.91
Turkey,2011,Zika,Bacterial,9.26,12.59,8.1,61+,Male,863096,94.83,1.39,6.03,Medication,49528,Yes,76.29,831,8.35,42938,0.47,24.87
Australia,2019,Zika,Chronic,7.27,1.81,8.44,36-60,Female,923238,51.58,4.97,2.57,Surgery,21613,Yes,87.9,3464,6.53,36762,0.62,82.5
Mexico,2002,Cholera,Neurological,15.48,2.37,1.28,19-35,Male,795152,84.52,1.66,4.09,Therapy,5227,Yes,78.25,3299,2.32,62623,0.51,76.02
Russia,2005,HIV/AIDS,Bacterial,13.66,10.43,0.54,36-60,Male,150727,56.03,1.18,0.99,Surgery,10313,No,98.5,970,1.49,31288,0.78,47.86
Turkey,2011,Measles,Genetic,1.9,6.1,3.18,36-60,Male,380677,82.38,1.07,6.2,Medication,25818,No,88.93,34,7.12,80121,0.89,46.02
Australia,2011,Hypertension,Respiratory,3.45,4.54,4.9,61+,Male,593948,74.16,2.23,6.26,Vaccination,40570,Yes,87.63,1313,2.9,11114,0.44,60.02
Mexico,2024,Rabies,Autoimmune,8.75,11.65,2.55,36-60,Male,62382,51.41,0.89,5.62,Therapy,11265,Yes,96.72,4162,6.38,34684,0.73,64.67
South Korea,2018,COVID-19,Autoimmune,5.68,5.18,7.41,61+,Male,130852,79.45,1.32,5.3,Surgery,42881,Yes,69.89,286,9.92,68898,0.83,39.47
Turkey,2007,Cancer,Autoimmune,11.36,6.84,0.33,19-35,Other,422894,56.41,3.01,1.39,Surgery,478,Yes,72.14,781,9.31,59914,0.8,88.13
Germany,2009,HIV/AIDS,Respiratory,0.97,3.97,2.22,0-18,Female,881564,89.55,4.04,6.1,Surgery,46305,No,61.33,3311,5.89,23002,0.77,37.53
UK,2022,Ebola,Infectious,13.47,1.67,7.39,0-18,Male,757339,62.94,1.86,2.72,Surgery,22504,Yes,93.31,1707,3.28,29661,0.44,65.25
UK,2020,Diabetes,Bacterial,0.64,7.28,1.91,19-35,Male,140343,53.97,1.9,9.73,Vaccination,33721,No,95.04,2041,6.01,58838,0.5,36.66
China,2024,Rabies,Chronic,6.38,12,4.29,61+,Other,505477,92.74,1.37,9.02,Vaccination,31813,Yes,57.61,1872,8.87,41320,0.69,53.19
India,2023,Ebola,Parasitic,5.41,5.39,8.18,36-60,Other,202968,81.03,1.61,8.6,Medication,48771,Yes,96.97,1854,5.13,11353,0.67,27.29
Saudi Arabia,2014,Asthma,Respiratory,12.52,8,3.27,19-35,Male,679341,53.21,2.86,9.82,Surgery,21986,Yes,59.25,4051,9.09,42231,0.9,55.44
Indonesia,2017,Zika,Infectious,11.76,3.46,4.69,36-60,Female,927687,55.55,1.49,9.91,Surgery,25038,No,57.22,3544,3.75,53300,0.63,59.25
Japan,2024,Hypertension,Cardiovascular,15.89,1.56,3.22,61+,Male,505520,99.7,2.43,5.91,Surgery,22596,No,66.54,2959,5.08,19393,0.42,67.6
France,2015,Tuberculosis,Chronic,16.5,5.67,3.37,36-60,Male,758816,69.48,1.08,8.17,Surgery,22490,No,95.16,1044,3.36,87642,0.81,43.04
Australia,2022,Parkinson's Disease,Respiratory,1.21,11.67,7.07,36-60,Female,968955,84.01,1.64,8.61,Therapy,34503,Yes,64.35,996,6.53,45564,0.75,62.99
Nigeria,2019,Polio,Chronic,8.75,3.59,8.32,19-35,Other,190562,72.22,1.89,7.42,Vaccination,7261,No,85.8,3348,3.45,97990,0.48,25.25
Turkey,2011,Hepatitis,Genetic,19.67,8.35,0.46,19-35,Male,269256,73.95,3.36,8.22,Surgery,40169,No,58.02,62,8.43,88099,0.43,78.01
France,2003,Influenza,Chronic,12.3,5.28,8.24,19-35,Other,957488,75.8,3.03,8.13,Surgery,8650,No,91.51,3832,7.11,98804,0.66,58.65
Indonesia,2020,Ebola,Neurological,1.37,0.11,0.71,36-60,Female,107468,77.8,3.76,3.67,Surgery,44598,No,66.37,3606,6.14,30664,0.63,55.09
Turkey,2004,Tuberculosis,Autoimmune,12.75,10.41,1.88,61+,Female,322573,94.26,2.41,6.39,Therapy,20475,No,81.02,4142,2.6,54219,0.59,43.73
India,2022,Cancer,Neurological,12.16,5.23,4.93,61+,Female,462287,83.75,0.74,6.91,Medication,32568,Yes,92.27,859,0.27,78009,0.75,31.35
France,2011,Alzheimer's Disease,Infectious,1.38,1.53,9.42,19-35,Male,181315,71.72,2.7,8.55,Surgery,10746,No,74.96,145,8.71,95953,0.52,36.68
China,2013,Parkinson's Disease,Genetic,18.11,9.69,7.56,61+,Other,245909,60.16,1.86,2.53,Vaccination,15331,No,64.27,4961,1.31,53838,0.89,55.44
Indonesia,2000,Influenza,Neurological,5.34,4.94,5.99,36-60,Female,681502,77.7,3.78,2.08,Surgery,28124,Yes,94.56,4420,7.73,18554,0.81,21.94
Canada,2022,Zika,Parasitic,9.44,11.41,0.52,36-60,Other,745297,63.19,1.97,0.64,Medication,7225,No,88.15,1192,7.08,43161,0.71,35.54
Russia,2004,Asthma,Metabolic,6.73,0.94,1.31,0-18,Female,239170,83.78,0.87,3.5,Surgery,18996,No,55.62,3480,6.52,13449,0.56,49.91
Argentina,2011,Leprosy,Infectious,12.29,14.99,1.94,61+,Male,23450,67.16,3.15,2.16,Therapy,23639,Yes,72.18,1342,2.19,7801,0.71,74.7
Russia,2005,Zika,Respiratory,18.94,0.55,8.57,0-18,Other,94432,82.88,1.87,7.01,Vaccination,28086,Yes,54.8,448,7.26,34306,0.61,83.05
Nigeria,2018,Malaria,Neurological,16.68,7.65,3.93,19-35,Male,761670,64.94,2.82,7.2,Surgery,40877,No,89.53,44,9.87,78847,0.55,83.3
Argentina,2004,Parkinson's Disease,Chronic,1.85,11.9,1.07,0-18,Other,429160,81.16,2.17,0.87,Medication,45822,No,79.78,1994,0.9,39147,0.47,25.19
Russia,2011,Dengue,Genetic,13.59,4.93,5.69,36-60,Male,588749,72.36,3.94,9.41,Vaccination,25076,No,55.83,1453,7.43,55758,0.64,74.09
Canada,2017,Zika,Metabolic,17.12,11.21,9.83,0-18,Other,994638,69.64,1.59,8.99,Surgery,32605,No,80.55,1423,3.32,59121,0.66,73.08
Canada,2019,Parkinson's Disease,Metabolic,7.67,11.75,9.43,19-35,Female,74107,63.52,4.78,5.83,Surgery,45020,No,81.39,1309,9.86,15781,0.9,40.58
Nigeria,2014,Zika,Respiratory,19.55,11.39,9.65,19-35,Male,808334,95.38,3.05,9.96,Therapy,10561,No,76.6,1517,3.75,6733,0.69,41.75
Italy,2019,Parkinson's Disease,Neurological,7.86,11.62,4.49,61+,Male,461301,57.71,4.58,4.43,Medication,7373,No,72.27,4989,1.04,71945,0.81,43.67
Mexico,2006,Ebola,Neurological,13.79,11.33,3.77,0-18,Female,271269,51.77,4.66,0.52,Surgery,38674,Yes,92.08,758,4.99,30397,0.7,36.38
Saudi Arabia,2023,Cholera,Viral,5.85,3.44,1.98,61+,Female,495571,76.08,1.54,4.51,Medication,21081,Yes,54.43,1666,9.81,23578,0.45,53.75
Japan,2019,Dengue,Autoimmune,19.73,9.45,3.46,0-18,Male,485580,70.88,1.88,4.25,Medication,46130,No,95.33,2429,3.24,43160,0.55,69.6
Nigeria,2022,Rabies,Bacterial,7.52,5.48,0.79,19-35,Female,356524,95.79,2.82,1.89,Therapy,28844,No,75.59,3733,0.41,3366,0.61,55.05
Mexico,2012,Measles,Viral,1.38,2.68,4.4,19-35,Male,536766,54.72,3.67,5.62,Surgery,39501,No,84.53,3375,6.88,61532,0.75,42.61
Japan,2021,Rabies,Metabolic,5.07,1.84,5.82,19-35,Female,799746,82.7,3.05,4.79,Vaccination,38929,No,59.74,2835,0.05,42870,0.62,34.63
China,2001,Zika,Chronic,17.58,13.55,1.24,36-60,Other,19064,61.06,3.53,3.46,Medication,3599,Yes,64.94,3493,7.98,55656,0.46,38.88
Australia,2023,Leprosy,Viral,15.88,7.06,4.39,19-35,Female,798913,83.71,4.77,1.14,Therapy,11473,No,78.43,50,9.66,86234,0.51,62.34
USA,2001,Alzheimer's Disease,Chronic,15.92,0.31,0.2,36-60,Male,653764,95.67,3.57,2.95,Vaccination,48126,No,72.62,2622,6.4,11783,0.85,53.47
France,2020,Tuberculosis,Neurological,9.13,13.68,4.57,61+,Other,88365,58.66,1.74,7.52,Therapy,44342,No,54.69,3799,8.57,7982,0.41,87.38
USA,2005,COVID-19,Genetic,7.45,13.13,6.72,19-35,Other,985973,59.19,4.62,1.41,Medication,35309,No,64.1,3353,2.17,9984,0.9,43.01
Japan,2016,Influenza,Chronic,1.82,11.86,2.39,0-18,Other,450550,65.27,4.12,3.23,Therapy,8204,No,82.65,3240,6.3,27471,0.7,72.89
Australia,2013,COVID-19,Bacterial,11.45,11.28,9.36,61+,Female,324553,52.03,4.66,5.91,Medication,13303,Yes,51.05,1780,9.1,14702,0.89,32.78
South Korea,2006,Cancer,Metabolic,4.78,6.86,0.12,36-60,Male,898336,76.11,1.99,7.09,Therapy,9581,Yes,74.45,3972,4.11,66146,0.59,50.57
South Africa,2011,HIV/AIDS,Autoimmune,8.82,0.94,3.38,0-18,Male,608766,72.23,2.7,1.54,Surgery,26357,Yes,55.16,2088,4.96,24979,0.87,55.16
Mexico,2004,Measles,Genetic,6.23,2.53,3.12,36-60,Male,331715,61.06,2.65,5.82,Therapy,25583,Yes,74.28,1797,7.39,51635,0.59,59.05
France,2002,Influenza,Viral,8.39,10.3,7,36-60,Female,566300,55.09,2.72,1.36,Therapy,28493,No,95.1,3303,3.34,6911,0.69,21.25
South Africa,2022,Polio,Cardiovascular,18.88,11.8,9.99,36-60,Female,561212,75.27,3.67,4.79,Medication,15088,No,67.72,2669,2.56,84467,0.76,61.49
Canada,2002,Cholera,Neurological,19.53,1.97,2.08,36-60,Male,328948,50.86,1.99,8.73,Surgery,2507,Yes,62.29,4595,1.04,71946,0.45,51.67
Indonesia,2009,Cholera,Neurological,15.11,6.88,2.52,19-35,Female,809983,58.8,3.66,7.47,Vaccination,34655,Yes,74.81,989,0.24,48252,0.6,74.73
Brazil,2013,Leprosy,Respiratory,14.42,12.89,1.1,61+,Female,630793,61.59,0.51,2.2,Vaccination,44286,Yes,95.19,3132,8.33,82161,0.72,67.63
UK,2003,Malaria,Metabolic,9.46,1.89,8.11,19-35,Male,505295,65.92,2.7,6.67,Surgery,25105,Yes,62.69,672,6.83,27442,0.83,21.12
Indonesia,2013,Hepatitis,Bacterial,12.12,10.46,9.68,19-35,Male,849820,77.26,4.23,0.65,Surgery,38737,Yes,71.31,4545,8.27,13662,0.43,72.88
Japan,2003,Leprosy,Metabolic,18.35,4.56,7.08,36-60,Female,90090,57.82,2.52,7.92,Medication,49392,No,94.6,3826,4.51,82818,0.81,34.35
Mexico,2006,Influenza,Respiratory,8.87,9.33,2.73,36-60,Other,232757,83.33,4.64,4.05,Vaccination,45105,No,64.62,3520,1.46,65177,0.61,22.67
Italy,2006,Polio,Metabolic,9.4,11.78,6.43,19-35,Female,39955,98.33,0.7,6.89,Medication,17911,Yes,68.46,2148,7.8,46301,0.55,61.11
Russia,2008,Asthma,Genetic,9.2,5.62,8.11,36-60,Female,190835,53.99,3.77,4.45,Vaccination,12362,No,53.92,4800,9.13,73195,0.58,84.25
Russia,2005,Dengue,Viral,5.73,2.78,6.74,61+,Male,462925,93.04,4.39,7.76,Medication,34429,No,84.51,304,9.64,52338,0.62,41.79
China,2009,Hypertension,Metabolic,15.4,8.81,9.02,36-60,Male,795379,63.58,1.45,3.58,Vaccination,44457,No,75.81,3048,5.18,5409,0.54,65.67
Japan,2002,Leprosy,Cardiovascular,15.39,12.12,4.78,0-18,Male,264016,86.42,3.74,4.81,Medication,14256,No,63.08,1059,1.18,63922,0.49,54.95
Russia,2008,Rabies,Viral,1.42,6.87,2.96,0-18,Female,556432,79.68,2.06,3.67,Vaccination,47012,No,77.54,2281,0.08,8752,0.86,77.92
Argentina,2006,Leprosy,Infectious,16.05,14,9.57,19-35,Male,786438,83.81,0.51,4.13,Vaccination,632,No,87.45,1712,1.49,40332,0.55,31.49
Mexico,2021,Cholera,Neurological,17,0.51,4.65,61+,Other,576477,82.73,4.46,4.31,Surgery,33907,Yes,81.74,219,7.84,56471,0.72,24.53
France,2003,Ebola,Neurological,15.22,10.33,1.46,61+,Other,572869,86.4,4.68,6.92,Therapy,37460,No,97.31,186,5.59,71778,0.86,28
Germany,2022,Leprosy,Bacterial,12.75,5.26,0.12,19-35,Male,932796,56.17,3.74,3.74,Therapy,14925,No,59.29,4043,2.43,49037,0.85,30.38
Turkey,2020,COVID-19,Cardiovascular,14.63,4.26,2.67,36-60,Other,189141,92.46,0.7,8.98,Therapy,27140,Yes,61.52,2571,7.65,80634,0.73,78.65
Saudi Arabia,2010,Hypertension,Chronic,9.76,12.87,1.03,0-18,Female,180999,55.04,2.59,3.91,Therapy,45581,Yes,77.07,3574,0.44,30186,0.86,48.1
Argentina,2000,Hypertension,Infectious,13.67,12.83,6.94,61+,Male,363360,53.59,1.82,6.26,Surgery,12141,No,53.56,3558,8.86,22310,0.41,20.53
Indonesia,2017,Parkinson's Disease,Bacterial,10.98,9.7,5.39,0-18,Other,361064,55.71,2.84,0.64,Vaccination,41744,Yes,51.69,4440,7.76,7192,0.76,60.87
France,2000,Alzheimer's Disease,Autoimmune,12.52,6.73,4.61,19-35,Female,209982,59.8,1.88,6.53,Vaccination,32484,No,73.7,3778,1.07,866,0.61,63.41
South Korea,2013,Cholera,Bacterial,17.24,13,6.09,0-18,Female,475133,89.55,3.45,3.02,Medication,24813,Yes,56.29,3904,9.77,60358,0.83,60.29
Brazil,2008,Alzheimer's Disease,Autoimmune,6.46,13.76,2.27,36-60,Male,998568,92.71,4.47,6.06,Vaccination,38135,No,67.41,4249,0.47,16932,0.46,58.73
Nigeria,2000,Dengue,Metabolic,15.65,10.07,1.4,61+,Female,290272,76.9,1.83,7.91,Vaccination,1774,No,76.34,2551,7.5,87464,0.75,37.15
USA,2023,HIV/AIDS,Parasitic,6.87,12.19,8.07,0-18,Male,154673,99.94,1.16,3.04,Therapy,36734,Yes,55.05,2507,7.33,89593,0.42,21.39
Turkey,2003,Leprosy,Genetic,5.23,0.9,9.16,19-35,Female,481752,58.82,0.64,9.54,Therapy,38810,Yes,98.89,1344,3.57,99265,0.72,53.62
Italy,2007,Measles,Respiratory,11.38,5.57,0.99,36-60,Male,295698,53.59,3.58,8.23,Medication,24950,Yes,91.66,4069,6.1,63691,0.56,64.77
Turkey,2006,Polio,Parasitic,18.46,7.78,6.42,61+,Other,232518,72,3.82,8.28,Therapy,10978,No,58.57,2663,8.84,91495,0.87,46.95
Turkey,2000,HIV/AIDS,Autoimmune,15.25,2.38,8.78,0-18,Male,700885,65.14,4.38,9.87,Medication,46322,Yes,74.12,4389,6.7,50561,0.53,67.75
South Africa,2004,Ebola,Respiratory,12.68,7.07,0.53,61+,Male,589027,61.23,1.94,1.42,Vaccination,39038,Yes,77.24,1346,4.65,63415,0.73,20.52
UK,2015,Rabies,Bacterial,9.72,4.59,1.59,61+,Female,192154,82.83,2.65,8.61,Surgery,37104,Yes,89.68,1597,4.22,27441,0.87,34.22
Russia,2017,Measles,Bacterial,12.64,0.51,6.44,0-18,Female,394381,98.55,1.48,9.32,Surgery,44191,Yes,67.3,1832,1.85,34263,0.49,58.29
Canada,2019,HIV/AIDS,Viral,13.73,0.58,8.07,36-60,Female,637923,87.26,4.84,1.27,Surgery,29201,No,92.88,4398,8.46,19062,0.53,52.06
Argentina,2022,Rabies,Neurological,13.15,2.66,7.18,19-35,Other,691168,76.71,2.17,5.58,Surgery,48484,Yes,51.77,2223,1.78,21498,0.52,26.58
Italy,2016,Leprosy,Neurological,0.72,11.12,0.43,19-35,Female,628421,53.98,3.85,6.64,Vaccination,32105,Yes,96.37,107,7.41,92251,0.41,75.33
Canada,2005,Hepatitis,Genetic,16.07,4.32,0.85,61+,Male,406260,93.68,3.19,9,Therapy,23364,Yes,72.06,1313,2.7,35441,0.46,60.44
Australia,2003,Rabies,Infectious,14.7,13.3,4.37,36-60,Female,689317,53.79,1.15,3.96,Surgery,37545,Yes,80.06,2920,5.44,95185,0.68,87.79
Australia,2004,Malaria,Respiratory,7.33,9.26,9.53,61+,Other,217316,58.48,2.27,1.99,Surgery,47182,Yes,79.09,4515,3.79,10282,0.44,82.55
Turkey,2009,Malaria,Autoimmune,13.13,6.01,2.89,61+,Male,304189,63.79,3.76,2.54,Therapy,19007,Yes,97.78,1560,8.89,73363,0.45,26.6
Australia,2019,Hepatitis,Cardiovascular,5.08,11.98,4.77,36-60,Other,945415,80.87,4.89,7.25,Surgery,34824,Yes,74.91,3394,5.48,86523,0.69,51.63
Mexico,2023,Rabies,Chronic,14.09,7.69,5.95,19-35,Female,242948,72.29,1.9,2.52,Vaccination,1511,Yes,86.31,2203,6.46,99126,0.73,83.38
Indonesia,2023,Zika,Parasitic,10.39,8.03,2.37,19-35,Male,619109,51.8,1.63,6.18,Surgery,7457,Yes,59.54,4077,8.75,56532,0.78,71.47
Germany,2000,Ebola,Respiratory,8.45,2.42,2.2,19-35,Male,750763,54.93,2.94,4.5,Therapy,44109,Yes,67.48,3706,1.44,85564,0.79,39.27
Turkey,2008,Polio,Neurological,2.04,2.33,2.06,36-60,Female,169432,78.75,2.59,2.38,Surgery,15875,No,54.88,2154,7.17,13979,0.77,34.48
Australia,2011,Cancer,Respiratory,19.43,13.49,5.76,19-35,Other,315669,64.04,3.1,6.1,Therapy,36173,No,85.17,2058,6.77,46509,0.85,86.16
UK,2007,Hypertension,Genetic,3.42,4.23,8.49,0-18,Male,183719,70.07,2.18,8.3,Therapy,32051,Yes,66.06,4060,4.37,27358,0.86,54.33
Japan,2003,Influenza,Parasitic,2.36,6.66,4.84,36-60,Other,332304,74.38,4.48,7.6,Surgery,9824,No,82.29,4840,1.11,77515,0.42,52.51
South Korea,2016,Hypertension,Genetic,7.71,6.35,8.17,0-18,Female,468599,52.19,2.45,1.54,Medication,20535,No,58.73,4085,2.92,68288,0.73,61.3
Canada,2010,Asthma,Genetic,6.29,2.81,7.6,0-18,Other,62204,99.96,1.46,4.67,Medication,4038,Yes,52.41,4064,5.52,8592,0.46,58.71
Nigeria,2000,Zika,Respiratory,9.5,14.66,4.95,36-60,Male,375401,82.3,3.75,6.98,Surgery,47533,No,95.28,636,8.24,58795,0.6,78.13
Nigeria,2007,Malaria,Respiratory,5.4,10.35,8.46,61+,Other,148837,70.61,4.85,4.59,Medication,42325,Yes,78.16,1721,7.62,32308,0.54,34.73
India,2009,Asthma,Respiratory,11.09,0.61,0.19,61+,Male,443507,98.45,1.62,1.21,Medication,35639,Yes,74.77,3610,9.78,16646,0.8,28.3
China,2007,Leprosy,Autoimmune,18.57,0.33,1.47,36-60,Male,367840,65.1,0.62,2.21,Therapy,37204,Yes,66.61,1540,5.32,82814,0.65,70.26
Indonesia,2011,Alzheimer's Disease,Genetic,13.23,8.9,6.4,19-35,Female,125602,98.84,4.31,4.69,Surgery,25257,No,70.73,2148,8.5,48290,0.58,79.54
South Africa,2001,Alzheimer's Disease,Metabolic,7.92,4.81,1.69,19-35,Other,265689,61.93,3,3.77,Therapy,24301,No,62.54,2801,3.25,31323,0.56,36.91
USA,2021,Rabies,Genetic,15.35,10.93,0.54,36-60,Female,8728,66.2,1.69,1.05,Medication,42635,Yes,86.55,3624,3.53,7943,0.8,56.1
Brazil,2022,HIV/AIDS,Chronic,11.8,1.9,1.45,36-60,Other,959393,55.91,4.21,9.55,Vaccination,39717,Yes,50.28,4973,3.61,50253,0.72,57.75
China,2022,Asthma,Parasitic,4.74,6.86,1.66,0-18,Male,428767,86.24,3.82,3.85,Medication,7898,Yes,77.22,3685,9,14674,0.52,75.99
Brazil,2001,Cancer,Parasitic,0.15,12.68,9.36,19-35,Male,358457,97.03,3.15,6.79,Therapy,28228,No,59.11,3346,0.07,41284,0.52,55.24
India,2015,Alzheimer's Disease,Autoimmune,12.35,14.64,6.32,36-60,Other,32305,76.42,1.74,5.01,Medication,42769,Yes,64.54,3568,2.77,17326,0.74,52.36
Saudi Arabia,2001,Influenza,Respiratory,6.68,3.93,9.73,36-60,Other,802738,71.68,4.35,1.38,Vaccination,44612,Yes,96.69,2209,0.89,9898,0.49,78.04
South Africa,2005,Rabies,Neurological,8.11,13.14,9.33,36-60,Female,525325,63.96,0.61,1.57,Surgery,32127,Yes,51.47,2488,0.65,98783,0.6,68.8
USA,2013,Ebola,Neurological,13.76,13.48,9.18,61+,Female,919588,56.96,3.27,5.96,Vaccination,30471,No,78.52,4318,9.34,60015,0.77,53.76
Turkey,2006,Ebola,Cardiovascular,9.16,3.2,8.38,36-60,Female,191854,73.53,4.83,8.98,Vaccination,29739,No,92.12,127,8.42,76532,0.59,80.95
Indonesia,2001,COVID-19,Bacterial,6.8,4.31,2.88,36-60,Other,581445,92.98,4.55,3.23,Medication,23536,Yes,81.97,261,2.62,3910,0.69,38.9
Russia,2021,Diabetes,Chronic,15.84,11.62,2.26,61+,Female,717792,82.71,3.15,0.52,Medication,13191,Yes,68.02,3343,3.23,94326,0.79,32.73
Turkey,2007,Malaria,Respiratory,9.25,4.64,8.21,61+,Male,681172,70.11,2.03,9.43,Surgery,7704,Yes,70.26,2621,9.76,91764,0.84,23.08
Indonesia,2020,Hepatitis,Viral,2.17,10.63,6.56,19-35,Female,722928,72.7,4.62,0.63,Therapy,27784,No,52.03,2795,9.1,22328,0.45,41.75
USA,2012,Hepatitis,Genetic,15.17,1.9,4.76,61+,Male,561804,56.94,4.06,1.12,Therapy,13299,Yes,84.15,2386,8.91,31268,0.48,44.68
UK,2001,Dengue,Genetic,15.71,6,2.38,61+,Other,5779,70.58,2.59,6.71,Surgery,14111,No,50.74,4597,5.46,38002,0.58,53.31
Turkey,2015,Leprosy,Bacterial,8.2,8.51,5.24,19-35,Other,752054,59.36,4.46,4.29,Therapy,2255,No,54.29,40,6.66,19720,0.88,44.02
Nigeria,2001,Polio,Parasitic,11.57,0.25,7.95,36-60,Other,468765,51.73,4.85,7.35,Therapy,5371,No,54.4,4203,7.97,84658,0.77,46.28
Japan,2009,Parkinson's Disease,Viral,14.36,8.32,6.88,19-35,Male,468409,77.92,2,7.14,Surgery,30145,Yes,73.31,213,8.24,48993,0.71,21.84
India,2013,Leprosy,Viral,9.75,4.81,0.33,36-60,Female,366510,98.73,2.72,4.97,Surgery,33714,No,73.8,1034,5.63,76056,0.72,88.94
Nigeria,2011,Leprosy,Respiratory,14.47,3.13,5.56,36-60,Male,819433,68.66,0.79,5.86,Medication,41597,Yes,52.61,2275,7.52,13088,0.6,64.81
Mexico,2007,Hepatitis,Metabolic,9.8,13.29,4.56,36-60,Male,893309,97.51,4.75,7.07,Surgery,25379,No,78.66,3673,6.64,74906,0.68,44.31
South Africa,2023,Diabetes,Viral,1.61,15,7.66,36-60,Other,353105,57.01,3.38,1.03,Medication,21433,No,74.88,3859,7.5,77985,0.54,56.89
Argentina,2005,Polio,Parasitic,14.08,1.03,1.78,19-35,Female,864131,93.24,2.24,0.94,Therapy,41524,No,92.16,332,2.96,92640,0.56,34.37
Russia,2017,Asthma,Infectious,3.1,10.77,7.61,0-18,Male,220721,77.22,4.04,8.73,Therapy,34101,No,74.86,4772,8.39,77293,0.43,70.94
Japan,2023,Dengue,Parasitic,7.28,2.75,8.98,61+,Male,230036,72.44,4.13,5.54,Therapy,13749,Yes,67.76,3766,3.7,21787,0.57,50.5
Nigeria,2015,Hypertension,Viral,16,7.58,9.45,36-60,Male,943177,69.97,1.18,1.99,Vaccination,12713,Yes,73.64,465,2.67,27661,0.8,34.88
India,2013,Parkinson's Disease,Cardiovascular,9.45,8.26,5.19,61+,Other,37439,91.4,0.62,5.61,Vaccination,35565,Yes,91.47,374,3.71,3399,0.41,49.09
Australia,2016,Leprosy,Infectious,14.61,0.18,5.94,36-60,Other,280996,99.5,4.91,3.78,Therapy,46369,No,77.2,803,8.09,84027,0.72,72.99
Australia,2000,Zika,Neurological,11.27,13.78,6.65,36-60,Female,428655,50.38,1.13,1.75,Vaccination,21342,Yes,72.4,4558,3.08,95615,0.48,39.12
South Africa,2015,Hypertension,Metabolic,16.04,2.13,8.09,0-18,Male,592857,99.65,4.63,1.24,Surgery,19889,Yes,60.91,1137,1.25,95748,0.7,45.6
Turkey,2024,Zika,Respiratory,1.5,6.06,8.26,19-35,Male,667292,91.86,4.26,4.6,Medication,35889,Yes,70.32,1491,5.48,5130,0.41,58.63
China,2003,Hepatitis,Respiratory,12.98,0.73,3.13,36-60,Other,992012,65.93,0.81,2.69,Vaccination,4004,No,94.48,4938,5.42,65189,0.78,69.55
USA,2021,Rabies,Genetic,11,11.82,0.15,61+,Male,197122,92.64,2.63,3.64,Surgery,47468,No,73.51,1779,2.35,69253,0.63,87.01
Indonesia,2000,Asthma,Infectious,13.59,5.16,2.49,61+,Other,513904,79.33,4.62,3.26,Vaccination,44436,Yes,57.88,186,7.12,66195,0.57,75.63
South Africa,2005,HIV/AIDS,Autoimmune,9.01,0.13,7.03,19-35,Other,234348,96.07,4.81,1.31,Surgery,39181,No,77.7,502,3.98,53679,0.65,64.91
Indonesia,2006,Asthma,Respiratory,17.97,5.88,4.49,0-18,Other,485228,78.5,1.6,2.74,Vaccination,30519,Yes,52.14,4217,6.2,57466,0.65,33.55
Brazil,2000,Cancer,Bacterial,16.02,8.57,0.7,61+,Other,945633,80.4,2.31,9.43,Medication,30880,No,89.9,4568,7.31,84361,0.53,44.34
India,2008,Polio,Cardiovascular,7.17,3.84,5.03,19-35,Female,645018,86.03,2.51,3.21,Medication,19018,No,57.35,1601,4.26,59182,0.48,59.32
Argentina,2015,Measles,Bacterial,17.71,13.34,9.05,19-35,Other,28171,76.71,2.75,7.2,Surgery,40836,Yes,77.78,2709,3.34,22529,0.66,81.03
South Africa,2011,Influenza,Neurological,10.67,9.05,8.47,0-18,Other,940396,66.24,4.74,8.69,Medication,32057,No,53.7,1429,0.98,68458,0.48,36.84
Canada,2005,Asthma,Genetic,16.66,1.81,5.61,36-60,Female,11985,86.41,1.05,6.01,Vaccination,9606,Yes,81.81,2222,8.11,76425,0.46,36.95
South Africa,2007,Ebola,Bacterial,17.18,8.98,4.01,36-60,Female,339150,91.19,4.42,5.61,Medication,47236,Yes,80.49,587,0.96,93831,0.82,89.01
South Africa,2008,Cholera,Cardiovascular,12,6.95,5.15,61+,Female,309995,96.6,3.18,7.49,Vaccination,16624,No,73.91,1206,2.93,12737,0.85,49.73
Japan,2014,Zika,Bacterial,14.12,3.45,6.5,36-60,Other,85481,53.04,4.09,7.5,Medication,31249,No,50.44,1462,4.09,82851,0.58,76.19
China,2003,Cancer,Infectious,1.95,5.72,7.92,61+,Male,187249,93.57,0.79,3.09,Therapy,16183,No,63.34,1960,9.87,76600,0.75,28.06
